Number of robot passes: 288

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
28   2   12   -30.61   -73.91   272.5
29   2   13   0        -80      295  
30   2   14   30.61    -73.91   317.5
31   2   15   56.57    -56.57   340  
32   2   16   73.91    -30.61   362.5
33   3   1    97.25    0        9    
34   3   2    89.85    37.22    31.5 
35   3   3    68.77    68.77    54   
36   3   4    37.22    89.85    76.5 
37   3   5    0        97.25    99   
38   3   6    -37.22   89.85    121.5
39   3   7    -68.77   68.77    144  
40   3   8    -89.85   37.22    166.5
41   3   9    -97.25   0        189  
42   3   10   -89.85   -37.22   211.5
43   3   11   -68.77   -68.77   234  
44   3   12   -37.22   -89.85   256.5
45   3   13   0        -97.25   279  
46   3   14   37.22    -89.85   301.5
47   3   15   68.77    -68.77   324  
48   3   16   89.85    -37.22   346.5

Tray 4
No  Cir Pos     X        Y     Angle 
1    1   1    59       0        41   
2    1   2    54.51    22.58    63.5 
3    1   3    41.72    41.72    86   
4    1   4    22.58    54.51    108.5
5    1   5    0        59       131  
6    1   6    -22.58   54.51    153.5
7    1   7    -41.72   41.72    176  
8    1   8    -54.51   22.58    198.5
9    1   9    -59      0        221  
10   1   10   -54.51   -22.58   243.5
11   1   11   -41.72   -41.72   266  
12   1   12   -22.58   -54.51   288.5
13   1   13   0        -59      311  
14   1   14   22.58    -54.51   333.5
15   1   15   41.72    -41.72   356  
16   1   16   54.51    -22.58   378.5
17   2   1    80       0        25   
18   2   2    73.91    30.61    47.5 
19   2   3    56.57    56.57    70   
20   2   4    30.61    73.91    92.5 
21   2   5    0        80       115  
22   2   6    -30.61   73.91    137.5
23   2   7    -56.57   56.57    160  
24   2   8    -73.91   30.61    182.5
25   2   9    -80      0        205  
26   2   10   -73.91   -30.61   227.5
27   2   11   -56.57   -56.57   250  
28   2   12   -30.61   -73.91   272.5
29   2   13   0        -80      295  
30   2   14   30.61    -73.91   317.5
31   2   15   56.57    -56.57   340  
32   2   16   73.91    -30.61   362.5
33   3   1    97.25    0        9    
34   3   2    89.85    37.22    31.5 
35   3   3    68.77    68.77    54   
36   3   4    37.22    89.85    76.5 
37   3   5    0        97.25    99   
38   3   6    -37.22   89.85    121.5
39   3   7    -68.77   68.77    144  
40   3   8    -89.85   37.22    166.5
41   3   9    -97.25   0        189  
42   3   10   -89.85   -37.22   211.5
43   3   11   -68.77   -68.77   234  
44   3   12   -37.22   -89.85   256.5
45   3   13   0        -97.25   279  
46   3   14   37.22    -89.85   301.5
47   3   15   68.77    -68.77   324  
48   3   16   89.85    -37.22   346.5

Tray 5
No  Cir Pos     X        Y     Angle 
1    1   1    59       0        41   
2    1   2    54.51    22.58    63.5 
3    1   3    41.72    41.72    86   
4    1   4    22.58    54.51    108.5
5    1   5    0        59       131  
6    1   6    -22.58   54.51    153.5
7    1   7    -41.72   41.72    176  
8    1   8    -54.51   22.58    198.5
9    1   9    -59      0        221  
10   1   10   -54.51   -22.58   243.5
11   1   11   -41.72   -41.72   266  
12   1   12   -22.58   -54.51   288.5
13   1   13   0        -59      311  
14   1   14   22.58    -54.51   333.5
15   1   15   41.72    -41.72   356  
16   1   16   54.51    -22.58   378.5
17   2   1    80       0        25   
18   2   2    73.91    30.61    47.5 
19   2   3    56.57    56.57    70   
20   2   4    30.61    73.91    92.5 
21   2   5    0        80       115  
22   2   6    -30.61   73.91    137.5
23   2   7    -56.57   56.57    160  
24   2   8    -73.91   30.61    182.5
25   2   9    -80      0        205  
26   2   10   -73.91   -30.61   227.5
27   2   11   -56.57   -56.57   250  
28   2   12   -30.61   -73.91   272.5
29   2   13   0        -80      295  
30   2   14   30.61    -73.91   317.5
31   2   15   56.57    -56.57   340  
32   2   16   73.91    -30.61   362.5
33   3   1    97.25    0        9    
34   3   2    89.85    37.22    31.5 
35   3   3    68.77    68.77    54   
36   3   4    37.22    89.85    76.5 
37   3   5    0        97.25    99   
38   3   6    -37.22   89.85    121.5
39   3   7    -68.77   68.77    144  
40   3   8    -89.85   37.22    166.5
41   3   9    -97.25   0        189  
42   3   10   -89.85   -37.22   211.5
43   3   11   -68.77   -68.77   234  
44   3   12   -37.22   -89.85   256.5
45   3   13   0        -97.25   279  
46   3   14   37.22    -89.85   301.5
47   3   15   68.77    -68.77   324  
48   3   16   89.85    -37.22   346.5

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    59       0        41   
2    1   2    54.51    22.58    63.5 
3    1   3    41.72    41.72    86   
4    1   4    22.58    54.51    108.5
5    1   5    0        59       131  
6    1   6    -22.58   54.51    153.5
7    1   7    -41.72   41.72    176  
8    1   8    -54.51   22.58    198.5
9    1   9    -59      0        221  
10   1   10   -54.51   -22.58   243.5
11   1   11   -41.72   -41.72   266  
12   1   12   -22.58   -54.51   288.5
13   1   13   0        -59      311  
14   1   14   22.58    -54.51   333.5
15   1   15   41.72    -41.72   356  
16   1   16   54.51    -22.58   378.5
17   2   1    80       0        25   
18   2   2    73.91    30.61    47.5 
19   2   3    56.57    56.57    70   
20   2   4    30.61    73.91    92.5 
21   2   5    0        80       115  
22   2   6    -30.61   73.91    137.5
23   2   7    -56.57   56.57    160  
24   2   8    -73.91   30.61    182.5
25   2   9    -80      0        205  
26   2   10   -73.91   -30.61   227.5
27   2   11   -56.57   -56.57   250  
28   2   12   -30.61   -73.91   272.5
29   2   13   0        -80      295  
30   2   14   30.61    -73.91   317.5
31   2   15   56.57    -56.57   340  
32   2   16   73.91    -30.61   362.5
33   3   1    97.25    0        9    
34   3   2    89.85    37.22    31.5 
35   3   3    68.77    68.77    54   
36   3   4    37.22    89.85    76.5 
37   3   5    0        97.25    99   
38   3   6    -37.22   89.85    121.5
39   3   7    -68.77   68.77    144  
40   3   8    -89.85   37.22    166.5
41   3   9    -97.25   0        189  
42   3   10   -89.85   -37.22   211.5
43   3   11   -68.77   -68.77   234  
44   3   12   -37.22   -89.85   256.5
45   3   13   0        -97.25   279  
46   3   14   37.22    -89.85   301.5
47   3   15   68.77    -68.77   324  
48   3   16   89.85    -37.22   346.5
