Number of robot passes: 174

Number of trays: 6

Tray 1
No  Cir Pos     X        Y     Angle 
24   2   8    -77.97   -19.22   193.8
25   2   9    -60.11   -53.25   221.5
26   2   10   -28.47   -75.08   249.2
27   2   11   9.68     -79.71   276.9
28   2   12   45.62    -66.09   304.6
29   2   13   71.1     -37.32   332.3

Tray 6
No  Cir Pos     X        Y     Angle 
1    1   1    96.68    0        0    
2    1   2    89.32    37       22.5 
3    1   3    68.36    68.36    45   
4    1   4    37       89.32    67.5 
5    1   5    0        96.68    90   
6    1   6    -37      89.32    112.5
7    1   7    -68.36   68.36    135  
8    1   8    -89.32   37       157.5
9    1   9    -96.68   0        180  
10   1   10   -89.32   -37      202.5
11   1   11   -68.36   -68.36   225  
12   1   12   -37      -89.32   247.5
13   1   13   0        -96.68   270  
14   1   14   37       -89.32   292.5
15   1   15   68.36    -68.36   315  
16   1   16   89.32    -37      337.5
17   2   1    80.3     0        0    
18   2   2    71.1     37.32    27.7 
19   2   3    45.62    66.09    55.4 
20   2   4    9.68     79.71    83.1 
21   2   5    -28.47   75.08    110.8
22   2   6    -60.11   53.25    138.5
23   2   7    -77.97   19.22    166.2
24   2   8    -77.97   -19.22   193.8
25   2   9    -60.11   -53.25   221.5
26   2   10   -28.47   -75.08   249.2
27   2   11   9.68     -79.71   276.9
28   2   12   45.62    -66.09   304.6
29   2   13   71.1     -37.32   332.3
